Compilador,Optimizador,Landscape,Celdas quemadas por microsegundo
g++ -march=native -ftree-vectorize,-O1,../data/2000_8,3.120241
g++ -march=native -ftree-vectorize,-O2,../data/2000_8,3.120086
g++ -march=native -ftree-vectorize,-Ofast,../data/2000_8,3.078187
g++ -march=native -ftree-vectorize,-O1,../data/1999_27j_S,3.855979
g++ -march=native -ftree-vectorize,-O2,../data/1999_27j_S,3.766164
g++ -march=native -ftree-vectorize,-Ofast,../data/1999_27j_S,3.903249
g++ -march=native -ftree-vectorize,-O1,../data/2015_50,3.828515
g++ -march=native -ftree-vectorize,-O2,../data/2015_50,3.749108
g++ -march=native -ftree-vectorize,-Ofast,../data/2015_50,3.873677
